Timestamp,Facility,Region,Energy_Consumption_kWh,CO2_Emissions_kg,Water_Usage_Liters,Waste_Generated_kg,Renewable_Energy_Percentage,Recycled_Waste_Percentage,Supplier,Fleet_EV_Percentage,Heat_Generation_MWh,Electricity_Generation_MWh
09/10/2023,ABB Vaasa Factory,East,6915.01,2405.37,42891.22,990.1,65.0,65.06,KWH Logistics,65.0,426.0,791.85
09/11/2023,Wartsila Smart Technology Hub,South,2164.46,4396.3,54231.78,252.35,65.0,65.0,KWH Logistics,65.0,182.24,773.51
09/12/2023,Vaskiluoto Power Plant,West,7148.26,4358.87,78453.69,900.79,65.0,73.23,Ahola Transport,65.0,265.88,784.79
09/13/2023,Vaasa Logistics Center,North,2877.36,1559.2,48754.31,1649.31,65.0,85.36,LEKO Logistics,79.21,434.19,153.09
09/14/2023,ABB Vaasa Factory,East,8723.07,2198.87,39611.85,1330.6,65.0,65.0,LEKO Logistics,65.88,333.38,726.58
09/15/2023,Wartsila Smart Technology Hub,East,8845.68,1544.52,80310.12,1495.75,65.0,65.02,Wasaline,65.0,327.61,554.41
09/16/2023,Wartsila Smart Technology Hub,East,3053.51,1550.65,50337.06,1638.9,65.0,94.92,Wasaline,65.0,464.12,240.23
09/17/2023,Kivihaka Distribution Center,East,2227.11,3675.53,56511.51,1688.64,80.47,65.0,Wasaline,65.0,311.29,556.99
09/18/2023,Vaasa Logistics Center,North,1127.95,2996.46,53301.99,276.15,71.93,97.3,Wasaline,65.0,274.16,806.42
09/19/2023,Wartsila Smart Technology Hub,West,3738.0,1624.32,36578.09,1390.41,65.0,68.5,KWH Logistics,65.0,402.16,294.56
09/20/2023,Vaasa Logistics Center,West,9106.13,3609.48,54119.57,209.85,65.0,76.39,Wasaline,65.0,119.88,789.98
09/21/2023,Kivihaka Distribution Center,South,3575.18,1273.57,13961.32,1044.47,71.18,65.0,Wasaline,73.62,200.79,530.95
09/22/2023,Wartsila Smart Technology Hub,North,8356.59,1538.01,34377.24,1697.02,65.0,65.0,Wasaline,82.31,302.54,477.81
09/23/2023,Wartsila Smart Technology Hub,North,4557.71,3968.78,55747.94,792.34,65.0,72.67,Oy EL-Ho Oy,65.0,421.59,949.92
09/24/2023,Vaasa Logistics Center,East,2183.68,4177.85,31249.97,1065.62,69.88,68.12,KWH Logistics,65.0,429.04,626.1
09/25/2023,Wartsila Smart Technology Hub,North,4626.18,1443.36,74525.42,866.6,65.0,65.0,Wasaline,65.0,68.87,428.72
09/26/2023,Vaasa Logistics Center,North,8711.61,3979.55,34088.07,1844.46,65.0,65.0,LEKO Logistics,65.0,91.86,508.31
09/27/2023,Wartsila Smart Technology Hub,East,7907.25,4674.73,13917.1,436.77,84.61,65.0,KWH Logistics,75.38,393.6,183.43
09/28/2023,Kivihaka Distribution Center,North,6767.14,1785.15,42227.55,253.06,65.0,66.52,Wasaline,78.18,168.06,752.6
