Timestamp,Facility,Region,Energy_Consumption_kWh,CO2_Emissions_kg,Water_Usage_Liters,Waste_Generated_kg,Renewable_Energy_Percentage,Recycled_Waste_Percentage,Supplier,Fleet_EV_Percentage,Heat_Generation_MWh,Electricity_Generation_MWh
09/10/2023,ABB Vaasa Factory,North,6126.83,4153.48,72610.01,764.18,32.25,18.0,Wasaline,12.73,188.33,625.69
09/11/2023,Wartsila Smart Technology Hub,East,4894.93,1473.0,94829.63,974.74,74.65,25.93,Ahola Transport,57.38,297.66,408.35
09/12/2023,ABB Vaasa Factory,South,3479.3,1830.98,75816.6,1470.86,90.73,39.79,Ahola Transport,78.44,361.7,581.91
09/13/2023,ABB Vaasa Factory,South,3249.15,2522.39,37640.35,575.39,38.19,86.92,KWH Logistics,56.27,467.9,500.79
09/14/2023,Kivihaka Distribution Center,South,6819.4,1599.34,79746.2,736.4,68.59,42.17,Ahola Transport,75.33,64.96,634.36
09/15/2023,Kivihaka Distribution Center,East,7076.38,2336.92,34805.33,1236.76,31.54,76.37,Oy EL-Ho Oy,7.59,178.38,525.67
09/16/2023,Vaskiluoto Power Plant,North,3380.46,2288.3,47731.53,1362.04,81.27,91.07,Oy EL-Ho Oy,51.23,340.31,556.85
09/17/2023,Wartsila Smart Technology Hub,South,3153.41,1940.76,20457.64,571.05,44.0,8.18,Ahola Transport,44.59,105.42,924.56
09/18/2023,Kivihaka Distribution Center,West,7549.53,3742.55,34847.54,1210.03,60.39,30.39,LEKO Logistics,13.16,442.3,123.68
09/19/2023,Vaskiluoto Power Plant,West,1542.34,1651.64,31235.45,736.59,94.7,83.03,Wasaline,8.28,171.91,202.1
09/20/2023,ABB Vaasa Factory,North,5888.72,975.35,44101.18,1521.46,51.13,73.46,LEKO Logistics,36.98,289.4,310.19
09/21/2023,ABB Vaasa Factory,West,5766.17,3017.45,49400.5,1751.4,82.98,80.63,Oy EL-Ho Oy,48.78,112.32,296.21
09/22/2023,Vaskiluoto Power Plant,North,5274.01,2423.84,66788.08,1408.84,52.34,80.62,LEKO Logistics,67.97,142.73,210.88
09/23/2023,Kivihaka Distribution Center,East,2996.67,3714.07,45411.55,663.55,12.47,37.78,Oy EL-Ho Oy,45.66,74.5,156.05
09/24/2023,Wartsila Smart Technology Hub,North,965.93,4152.81,27609.15,1486.11,46.39,13.34,Oy EL-Ho Oy,94.86,332.79,602.07
09/25/2023,Vaasa Logistics Center,West,4721.4,659.66,64796.84,1062.71,54.05,16.67,LEKO Logistics,68.45,69.49,864.22
09/26/2023,Vaasa Logistics Center,East,1838.66,1699.53,63084.35,1100.46,96.45,38.87,Wasaline,77.9,419.07,440.55
09/27/2023,Vaskiluoto Power Plant,South,2833.6,2986.85,32014.85,1441.04,97.07,38.3,Wasaline,45.42,265.4,886.36
09/28/2023,Vaasa Logistics Center,South,8804.2,3272.64,63041.78,1552.74,57.13,78.11,KWH Logistics,99.33,439.52,909.6
09/29/2023,Vaskiluoto Power Plant,South,6932.22,4362.94,92883.0,1068.23,84.27,12.76,Wasaline,90.04,414.79,550.61
09/30/2023,Vaskiluoto Power Plant,North,2145.95,3551.36,81676.4,759.41,34.48,98.54,KWH Logistics,39.87,396.11,973.8
10/01/2023,Vaasa Logistics Center,North,2235.44,1230.5,89361.08,947.14,32.26,26.82,Wasaline,64.33,82.59,963.01
10/02/2023,Wartsila Smart Technology Hub,North,3768.42,968.12,21583.5,1187.3,69.91,87.32,LEKO Logistics,61.98,168.3,500.13
10/03/2023,Vaskiluoto Power Plant,South,8597.37,4183.62,89944.32,1334.74,99.61,7.44,Oy EL-Ho Oy,44.39,258.99,854.0
10/04/2023,Wartsila Smart Technology Hub,South,1157.29,2734.61,95218.75,1749.22,43.19,52.63,Ahola Transport,9.23,244.56,663.33
10/05/2023,Kivihaka Distribution Center,North,1822.37,2547.35,30923.9,766.4,97.54,86.56,Oy EL-Ho Oy,95.53,467.0,843.73
10/06/2023,Kivihaka Distribution Center,North,6287.12,1889.51,34433.61,1541.53,65.86,34.35,KWH Logistics,64.67,209.08,441.91
10/07/2023,Vaskiluoto Power Plant,North,8287.24,3871.52,37949.93,1354.5,18.86,99.41,LEKO Logistics,52.48,134.52,867.58
10/08/2023,Wartsila Smart Technology Hub,North,5764.65,776.42,87085.31,1431.68,78.79,57.85,LEKO Logistics,59.19,273.05,287.77
10/09/2023,Vaskiluoto Power Plant,East,2621.03,3410.54,37213.48,362.16,68.95,88.69,Ahola Transport,12.42,149.96,810.01
10/10/2023,Vaasa Logistics Center,North,6151.42,3670.8,13028.76,1176.76,91.61,31.2,Wasaline,44.34,490.65,760.53
10/11/2023,Vaasa Logistics Center,South,5262.21,3963.18,56284.29,667.0,52.12,25.43,KWH Logistics,40.78,193.81,686.4
10/12/2023,Vaasa Logistics Center,West,4969.41,3546.51,38647.18,905.46,69.56,19.46,Ahola Transport,83.68,116.86,262.44
10/13/2023,Vaasa Logistics Center,East,6087.56,4331.85,53837.6,1524.96,55.7,36.53,LEKO Logistics,12.17,494.33,147.18
10/14/2023,Kivihaka Distribution Center,East,2166.65,4387.3,84287.95,1082.92,10.18,77.3,KWH Logistics,53.62,121.54,282.6
10/15/2023,Vaskiluoto Power Plant,South,4473.09,772.83,33298.11,1503.47,96.49,92.07,KWH Logistics,31.57,84.28,954.24
10/16/2023,Vaskiluoto Power Plant,West,8008.62,3218.42,29263.56,1291.21,9.65,70.55,LEKO Logistics,23.97,75.65,144.39
10/17/2023,Kivihaka Distribution Center,North,1765.85,686.17,28646.36,1499.9,62.69,32.79,Ahola Transport,97.48,115.17,631.59
10/18/2023,Vaskiluoto Power Plant,West,1024.15,1037.43,31246.71,464.13,82.05,85.79,Ahola Transport,55.81,293.09,972.52
10/19/2023,Kivihaka Distribution Center,West,8791.04,2960.05,27764.86,1486.11,70.77,48.47,KWH Logistics,7.28,275.39,506.27
10/20/2023,Vaasa Logistics Center,West,6739.78,2540.64,47084.04,1732.19,37.35,95.71,Oy EL-Ho Oy,25.52,214.14,822.68
10/21/2023,Kivihaka Distribution Center,West,7707.94,675.71,87598.35,1561.83,72.45,41.26,Ahola Transport,58.73,123.62,776.16
10/22/2023,ABB Vaasa Factory,East,5983.5,3683.35,42018.15,1171.11,67.13,47.78,KWH Logistics,80.9,355.51,527.49
10/23/2023,ABB Vaasa Factory,North,6178.92,2272.24,39258.84,1373.79,96.19,75.54,Wasaline,53.83,167.48,403.01
